useful,comment
1,"Sure!
It is very important and I will apply with my monthly planning such as Cash balance every month"
1,"When evaluating a company's financial condition, it's important to check not only profit but also FCF."
1,"To utilize Free Cash Flow analysis to monitor the company's present value in order to track growth, encourage expansion and avoid failure."
0,The explanation of the calculation of FCF was convincing.
1,FCF is one of the important items to measure the business performance .
1,I can effectively communicate to the investors regarding value of the business
1,For see cash flow in company and have image when the company will investment
0,"Good content, but the background music is awful."
0,This is an important concept in my business area. Should be watched more than twice.
0,"good!
"
0,great
0,excellent
1,"We tend to overlook FCF when working in a business unit, but it is actually an essential issue. "
0,"Harder to understand than accounting "
1,We can refer to FCF when evaluating company's ability to generate the actual cash from their business.
1,Good for basic understanding of risk assessment of stocks
1,Identify companies for investment
1,The information gained from the course will be very helpful in understanding the standing of the company relative to competitors. Also will be useful from an individual investor perspective.
0,"Those are basic concept but important "
1,Useful when comparing company vs competitors.
0,New learnings.
0,In the monthly assessment that I submit to the managing director
0,I'd like to try to analyze financial condition of my company.
1,The part pointing out the relation chart of management style and goal setting was the most interesting. It would help us objectively look at our company’s position.
0,"Good contents. Thank you, Mr Hirose, for useful advice."
0,"Framework for comparing between business on the different region "
1,"The course really help me to understand the framework of doing business, and to implement it in daily negotiation and for future business implementation."
1,I would like to use this framework when my clients try to expand their business to other countries.
1,I can use this method when I discuss about my clients’ new products.
1,"Human Centric approach -> formulate the goals with thinking customers real value rather than product centric approach "
0,help me analyze better.
0,"Advanced process but it can be introduced into the current business "
0,"It’s useful to know about this kind of advanced technology. "
1,"In making some decision in the job, I will draw deep structure models learned from this course, then I can reach correct answers. "
1,"As a legal staff, I will pay attention to the regulations which might become more strict from the privacy perspective."
0,There may be a hint to innovation by analyzing my own thoughts in deep network.
1,"This course help me how to learn and identify any data more analytical before making any decision.  "
1,"To think about cause and effect relationship, I’ll note that If each case meet 3 conditions."
0,Help anaylising without DATA repetition
1,"From bundle of all the information we can process or segregate the data in to useful data to reach our goal and that segregated data connect us to most appropriate approach.  "
1,MECE is quite usuful when we try to find cause or issue.
0,"be carful to categoryze by ""others"""
0,"insightful "
1,"Doing MECE will help me broaden my way of categorizing data. Gives me a new idea on how to effectively accomplish my job. "
1,I will be able to apply this when creating proposals for projects for the year - to better understand what we need to do and why we need to do it.
0,data
0,it is very useful for resolving technical root cause
1,"Great tool of understanding to criticize the data you necessarily need. No duplications and no omissions of tracking the right aim are absolutely relevant for targeting the right decision. With no exact analysis of the spectrum of information, you are in danger of misinterpretation."
0,To problem issues
1,It's a business wise helpful to see components that is helpful or not helpful to business.
1,MECE Principle will be helpful to specify and analyze the issues effectively on various occasions.
0,Useful when analyzing data.
1,Identifying customers and their sales forecast
0,Useful when analyzing data
1,Don’t forget that “Other” can be useful but sometimes it might make points unclear.
0,MECE is one of the basic skills of critical thinking. It should be used in a most efficient way in daily basis.
0,"Easy to understand, great to learn "
0,"great one "
0,Did not get all right first time
0,I'd like to classify experimental conditions using MECE to establish assay system.
0,I will use it to piramyd structure
0,Helps in viewing data differently
0,正しく分類するためにMECEの考え方が重要だと思った。
0,I ought to learn it more than 3times for deep in understand this principle. :)
0,"The best way to separate and categorize data in line in solving business agenda. "
0,It helps me to analyze the data better than before.
0,something new for me
1,MECE analysis is important to sort and define properly the groups to get a conclusion about events in the industy
1,This would help us analyze our client’s trade flows and business trends.
0,I would like to use this concept to analyze what is likely to be a reason of the problem.
0,Identify the design problems and potential solutions
0,Good
1,MECE is a fundamental framework to analyze business issues effectively.
1,useful to understand the best way to find trends and problem areas in research and development
0,It is help  directaly to daily life & work place.
1,Segregation of information into meaningful groups will be helpful through MECE.
1,"When I think about structuring business problems or data, always check if my structure is MECE and fits the goal. "
1,MECE is a good principle to use when considering doing PR category wise for brand and customer profiling
0,This part is so difficult me to understand. i think i will be to ask my leader to share this part to me before i apply to my work.
0,I have an idea and get the direction who to generate our customer
0,MECL can support us due to It is a tools to help us find answers or solve problems more clearly
0,This part it so difficult me to understand.
1,Use MECE as a tools to help identify and solving problems
1,When trying to know the real reason for when sales drop.
0,"
Review all possible options

"
0,"This could be used for analyzing problems. "
0,Specified propose is correctly defined by the MECE
1,"The concept is simple, but it's not that so easy to actually use to suit the situation and goal."
1,"Learn how to organize data properly to study the problem and analyze any trends that are present. "
0,Efficient analysis on market and customer.
0,"customer segmentation
making work  breakdown structure"
0,to analyse the problem daily basis
1,Requires me to analytically think of next steps and sales principles
1,"MECE can be used together with logic tree. "
0,"For the time being, I have no idea as to how to use the learning for my work."
1,helpful in marketing planning
1,Group data into meaningful categories
0,Excellent course. Fast and helpful to understand MECE concept.
1,I can apply MECE when I analize the position of our product in a certain country.
0,Good method MECE
1,"Although MECE seems easy, I learned that it is necessary to take note to the selection of criteria according to the purpose and how to categorize items. I also learned that getting the correct information and data would increase the degree of perfection. Thank you."
1,"When I research the market, I use the MECE principle, especially Formula."
1,I want to correctly advertise sites and provide sales.
0,Good data collection and well organize tools.
0,by categorizing the data into different category for visualization
0,Thank you.  This is useful for thinking about categories.
0,Use the MECE principal to better understand problems.
0,Need to practice mece
0,"The MECE concept is useful for cause analysis.
"
1,I would like to use MECE priciple when I analyse a sales market and find an essential problem in my field.
0,good concept
0,"using logic tree
"
0,Process analysis is needed for using MECE tool
0,"To think critically, I apply the learning in my job."
0,Needs to practice to understand it better.
0,It was surprising that we can categorize small datas into others to make it easier to understand.
0,for scientific activity
0,It is important in the analysis of numbers.
0,can be used to pinpoint problems and identify their causes
1,I am afraid that people tend to categorize things in a wrong way when analyzing because they want to lead a certain conclusion in their mind and MECE method helps us to avoid it.
0,Mutually Exclusive Collectively Exhaustive allows for much thinking
0,"To know about total toys sales "
1,I will analyze my daily spending by Categorizing them by stores.
0,"very well "
1,I can use MECE Principle for clean up my kids room
1,"I'm trying to not forget using the MECE principle is a way to ensure your groupings have no gaps or overlaps.
"
0,input and output at work
0,very difficult to understand
0,It’s important to consider analytically.
0,Analyzing the reason of the result
0,Think of different ways to classify data
0,MECE help checking is more exclusive and exhaustive
0,To analyse the issue of employee survey
1,"I would use this learning outcome on analyzing sales tendency, by date, month and season."
0,planning
0,Still complicated
0,good thoughts
1,How to use the MECE principle in critical thinking and sort out elements using a structured process.
1,Use in case of the selection of food supplier.
0,"focused more not to repeat the data as well as always have a space to others "
0,"For analyzing reasons appropriately for what’s happening "
1,I can apply it when I identify the most important reason for increase or decrease in profits.
1,i can  apply to use  MECE concept when need grouping something for analysis .
0,"mece is excellent for data collection and review "
0,Doing MECE will help me to categorize the data.
0,"By this learning , I am able to separate & analyse data better."
0,Ploblem solbing technique.
0,"分析に役立つ。
・重複しない項目の作成術"
0,very helpful
0,Grouping information
1,"This way of thinking can be applied to many situation, such as FTA and stratified analysis, affinity diagram and so on. "
1,MECE is the effective to find the target of market.
1,"This course gives me clear understanding of how to categorize things and data based on their groups and types without omissions or duplicated. I will apply it in my daily life and specially at my working place, such as; when we are making the report about statistical data of registrations and other documents."
1,"When faced with complex issues in the day-to-day business settings, thinking in the pyramid structure would help me clarify what would be the true issue and how you come up with the best solution to the issue by thinking in ways that all the potential solutions are covered exhaustively and exclusively. "
0,I thought it would be helpful to fully understand and convey my wishes to the other person.
0,I'm gonna talk my conclusion at first.
0,"will use to organize thoughts and results "
1,"To create schedule, which plan should be chosen can be decided using pyramid and the other flamework."
0,"目的に応じたプロセスの整理。会議の場での議論を整理する場に応用が可能と考えます。
"
0,"When I review my action,plan."
0,"I want to use this method when I make documents for meetings, application submissions, and reports in my daily work. "
1,During Process we find many observations and to improve them we can use pyramid Structure to ease out of them
0,I will apply the learning from this course to my presentation so that I can make my presentation more convincing.
0,I can use this when defending my recommendations at work
0,"I want to clearify conclusion/ what Iwant to do or discuss first, then make strategic decision.  "
1,I feel describe the conclusion first is always necessary to report something to PJ member.
0,"It will be useful in my daily routines of working environment. By using this method, i hope,we can gain the more effectiveness decisions and can get knowlegde for data collecting and thinking."
0,"Excellent ways to communicate effectively in a business environment. "
1,I will apply the learning when I report something to our group leader.It is easier for him to make a decision about it.
0,To tell other people my thought
1,"Thinking logically by using pyramid structure in any case, working, making decision for my children's matter, and my life."
1,"Great reminder of the pyramid structure with good examples. I'll use this to listen in for what our clients and my supervisor want and then find the best solutions to fulfill this, communicating it through the pyramid structure. "
1,"I  am going to use this pyramid structure when talking to my colleagues at work. I want to use a pyramid structure to speak logically and clearly.
"
0,i.e. choosing educational courses
0,Helps in communicating more effectively when a decision is needed
0,Develop existing frameworks more deeply
1,"I want to divert products of interest to sell in the current situation in the country.

Why? Because main products sold is currently experiencing in production due to logistical issue of raw materials.

Diverting products which has currently high demand for Covid19 pandemic preventative actions and solutions for local government and healthcare institutions. "
1,I believe I can apply this in my current role when I need to convince my stakeholders in taking a certain direction. The pyramid structure can also serve as a guide to ask the right questions when gathering information.
0,"I will use it for solving daily issues on site.   "
0,In daily working life.
1,I will be able to apply this when I am tasked with proposals for the section and for certain projects.
0,To manage the schedule of the project.
1,i would like to have review why it was wrong after the answers of quizes
1,I think Pyramid Structure is like an OS of a computer. Installing it is the start point for every business thinking.
1,Like a true pyramid the conclusion should reach you to the sun. As categorizing collection of data PEST and GMT (Generic Mapping Tool) are mentioned. Great Pharaos job to do as MBA.
0,In meetings with shareholders
0,It will improve my communication in business.
1,I get to learn about the Pyramid Structure and this might improve my thinkning and communicating process in my organization
1,I can use this communication tools to communicate and persuade client's decision.
0,use it for reporting or persuade by the evidence
1,"When  I have a trouble on site, I will write on the paper a idea, and give categories to support the idea and with evidence"
1,"Two things for me,this course will be my pre-course for my MA in Human Resource Management. Second, this would be part of our decision making when my husband and I would decide to purchase something that would be quite expensive and impacting on our budget. "
0,to check everyday the task for my team
0,"I'd like to use pyramid structure to pursade someone. "
0,This way is very useful in communication.
0,Problem solving for jobs
0,I will apply the pyramid structure when making decision.
0,I'll utilize this structure for planning my project of which I'm in charge at the firm.
0,"I guess it's valuable for both, daily life and effective communication at job."
0,"We can use the pyramid structure to define the evidence of one conclusion "
1,I apply it when i think about cost down of supply chain.
1,I think this would be usefull for making presentation documents.
1,"I consider that ""pyramid structure"" is very useful to create presentation materials for the explanation of project decision to my boss and/or upper management."
0,"I knew logic, but for learning English."
0,To explain my thought logically.
0,"When I have to select the company which conduct a part of my work, the way of thinking in this course would help me."
1,"When I explain my opinion to my coworkers, I apply the learning from this course."
1,I'm going to apply the learning to my meeting.I need to state my opinion when I have a meeting.I think that pyramid structure is a good tool to clear our thinking.
0,create report clearly to explain conclusion made.
0,By briefing the same to down the line
0,Improve my communication skills
0,Improve work flow
1,To assign outcome/impact-based priorities to daily tasks.
1,"First I will identify the issue, and create pyramid structure.
"
1,Helps in influencing and persuading others as the thinking and communicating is done in a structured way
0,I would to say. Thank you for present new tools to me. I will try to use Pyramid structure with my work and my life. I think it can help me too much.
1,"The pyramid structure can be used for proposing conclusions for any task. It can be applied in simple replies to questions , as well as in presenting larger proposals. "
1,It would help me communicate with my employees more effectively and solve business problems better
1,Short updates to colleagues
1,"I can help in answering different questions of my instructors, in terms of any critical situation in their centre. It can also be used in different training sessions of my team members how to come up to an effective solution."
1,"its good learning, and I will apply it in Management related task specially when I want to propose any new vendor for the activity then it will help me to build Pyramid structure so that I can present my view in a concreate way.
Thank You."
0,good and can solve many problem.
0,"It lessen the complication in providing effective and efficient solution. "
1,I can apply this in decision making in the business. I can also use this when there are more than 2 options to choose from.
0,Communication with my boss
1,It can be applied to a lot of work required any decision.
0,useful
0,It helps to achieve a better way to communicate an idea.
1,Communication with my boss and my team
1,"It will be helpful to make a proposal to someone in a persuasive way.  "
0,Solving all issues by using pyramid structure.
